WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,630,1,0,NotFaulty
3,1,0,2,5,3,0,2,2,2,46,0,0,0,0.3333,0,0,14.3333,842,1,0,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,632,1,0,NotFaulty
5,1,0,0,7,8,0,0,2,1,28,0.5,1,0,0.5,0,0,4.2,507,1,0,NotFaulty
24,1,0,0,24,276,0,0,24,2,24,0,0,0,0.25,0,0,0,106,1,0,NotFaulty
1,4,0,0,4,0,0,0,0,2,11,1,0,1,1,0,0,9,2560,1,0.0005,NotFaulty
5,1,0,3,42,8,0,3,2,0.875,427,1,0,0,0.6667,0,0,84,519,23,0.0002,NotFaulty
10,1,0,3,47,15,0,3,4,0.6667,464,1,0,0,0.3,0,0,45.2,265,23,0.0002,NotFaulty
1,1,0,0,2,0,0,0,0,2,15,0,0,0,1,0,0,3,2654,1,0,NotFaulty
32,1,0,3,64,456,0,3,30,0.9124,685,1,0,0,0.1895,1,1,19.9688,85,16,0.0037,NotFaulty
4,1,0,2,7,2,0,2,4,0.3333,37,1,0,0,0.75,0,0,7.75,688,3,0,NotFaulty
14,1,0,5,27,0,0,5,14,0.2308,83,1,0,0,0.3571,0,0,4.8571,197,1,0.0026,NotFaulty
22,1,0,7,58,131,0,7,20,0.7619,254,1,0,0,0.1919,0,0,10.3636,127,4,0.0048,NotFaulty
14,1,0,3,18,91,0,3,13,2,53,0,0,0,0.3571,0,0,2.7857,200,1,0,NotFaulty
4,1,0,3,5,6,0,3,3,1,10,0,0,0,0.6667,0,0,1.25,703,1,0,NotFaulty
11,1,0,1,11,55,0,1,11,2,11,0,0,0,0.4773,0,0,0,256,1,0,NotFaulty
4,1,0,9,10,2,0,9,4,0.6667,49,0.5,0,0,0.5625,0,0,10.25,707,1,0.0005,NotFaulty
5,1,0,2,19,10,0,2,0,1.2045,216,0,0,0,0.3333,0,0,40,573,16,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,2867,1,0,NotFaulty
10,1,0,1,14,27,0,1,7,0.8333,102,0,3,0,0.3,0,0,8.6,287,2,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,66,0,0,0,1,0,0,3,2879,1,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,33,0,0,0,1,0,0,3,2880,1,0,NotFaulty
39,1,0,9,79,697,0,9,21,0.8596,808,1,0,0,0.2468,0,0,19.641,76,10,0.0073,NotFaulty
19,1,0,2,19,171,0,2,19,2,19,0,0,0,0.2171,0,0,0,157,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,91,0,0,0,0,0,0,89,3001,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.9744,155,0.0769,13,0.8667,0.4444,1,1,34.5,751,1,0,NotFaulty
9,1,0,0,24,32,0,0,8,0.8977,240,0.1818,9,0,0.375,1,1,24.4444,335,6,0.0024,NotFaulty
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.5,0,0,0,756,1,0,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,0.75,0,0,0,1514,1,0,NotFaulty
10,1,0,0,21,33,0,0,9,0.8675,639,0.0385,50,0,0.3111,1,1,57.7,310,58,0.0034,NotFaulty
4,1,0,6,9,2,0,6,4,0.3333,40,1,0,0,0.5625,0,0,8.5,777,1,0.0005,NotFaulty
16,1,0,0,38,94,0,0,15,0.6,343,0.75,2,0,0.2889,1,1,19.9375,196,8,0.0053,NotFaulty
11,1,0,1,29,39,0,1,8,0.625,291,1,0,0,0.4182,0,0,25.0909,288,12,0.0002,NotFaulty
1,1,0,0,2,0,0,0,0,2,12,0,0,0,1,0,0,9,3176,1,0,NotFaulty
7,1,0,2,24,15,0,2,6,0.2778,158,1,0,0,0.619,0,0,21.1429,455,4,0.0002,NotFaulty
10,1,0,4,26,41,0,4,10,0.5,116,1,0,0,0.375,0,0,10.4,320,4,0.0012,NotFaulty
8,1,0,3,9,28,0,3,7,1,16,0,1,0,0.4286,0,0,0.875,401,1,0,NotFaulty
3,1,0,6,9,3,0,6,1,2,41,0,0,0,0.5333,0,0,12.6667,1073,4,0.0002,NotFaulty
3,1,0,7,10,3,0,7,1,2,43,0,0,0,0.5333,0,0,13.3333,1075,4,0.0002,NotFaulty
1,3,0,0,2,0,0,0,0,2,5,1,0,1,1,0,0,3,3226,1,0,NotFaulty
137,1,0,5,207,4992,0,5,131,0.6985,1069,1,0,0,0.1181,1,1,6.781,24,2,0.0007,NotFaulty
4,5,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,846,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.6667,23,1,1,0.8667,0.4444,1,1,4.5,847,1,0.0002,NotFaulty
1,1,0,0,2,0,0,0,0,2,48,0,0,0,1,0,0,3,3390,1,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,46,0,0,0,1,0,0,3,3391,1,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,4,0,0,0,1,0,0,3,3392,1,0,NotFaulty
3,1,0,1,14,1,0,1,1,0.9583,174,0.0833,0,0,0.5,0,0,53,1132,4,0,NotFaulty
3,1,0,1,6,1,0,1,1,0.8068,246,0,0,0,0.5,0,0,66.3333,1139,19,0,NotFaulty
3,1,0,1,10,1,0,1,1,0.5,39,0,0,0,0.5,0,0,11.6667,1141,3,0,NotFaulty
6,3,0,0,24,13,0,0,0,0.2,108,1,0,0.956,0.3667,1,3,16.8333,572,5,0.0016,NotFaulty
3,3,0,0,12,3,0,0,0,1.5,37,0,0,0.9701,0.5556,1,5,10.6667,1147,3,0.0007,NotFaulty
