WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
0,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,NotFaulty
8,1,0,0,19,22,0,0,4,1.0476,532,0.8333,0,0,0.4857,0,0,64.75,130,18,0.0005,Faulty
20,2,0,1,34,58,0,1,20,0.2368,294,0,0,0.3333,0.27,1,1,13.6,53,3,0.1745,NotFaulty
21,2,0,0,37,94,0,0,20,0.4833,521,0,0,0.2174,0.2167,1,1,23.6667,52,4,0.1648,NotFaulty
16,1,0,7,27,90,0,7,16,0.9179,174,0.9231,0,0,0.1875,0,0,9.0625,69,2,0,NotFaulty
12,1,0,2,19,46,0,2,12,0.8889,128,0.8889,0,0,0.2262,0,0,8.9167,94,2,0,NotFaulty
14,1,0,5,22,55,0,5,14,0.8741,174,0.9091,0,0,0.2222,0,0,10.6429,82,2,0,NotFaulty
12,1,0,3,20,32,0,3,12,0.8283,157,0.8889,0,0,0.25,0,0,11.3333,96,2,0,NotFaulty
3,1,0,0,5,0,0,0,3,0,24,0,0,0,0.8333,1,1,6.6667,388,2,0,NotFaulty
59,1,0,37,164,173,0,37,43,0.4511,4467,0.8333,0,0,0.149,0,0,74.6102,23,42,0.2329,Faulty
0,1,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,NotFaulty
73,1,0,23,143,822,0,23,43,0.5278,1417,1,0,0,0.1385,0,0,18.3836,20,29,0.1972,NotFaulty
10,1,0,0,20,31,0,0,4,0.5988,2322,0.9444,0,0,0.7407,0,0,227.6,153,6,0.164,NotFaulty
20,1,0,2,20,190,0,2,20,1.0526,24,0,0,0,0.2917,0,0,0,77,1,0,NotFaulty
21,1,0,3,23,210,0,3,20,2,117,0,0,0,0.2857,0,0,4.5714,75,1,0,NotFaulty
2,1,0,1,6,0,0,1,1,0,27,0,0,0,0.75,0,0,12,791,2,0,NotFaulty
3,1,0,2,14,0,0,2,1,0.1667,86,0,0,0,0.5556,0,0,26.6667,529,4,0,NotFaulty
24,1,0,4,47,260,0,4,21,0.5,167,0.5,0,0,0.2422,0,0,5.875,67,3,0.1644,NotFaulty
3,1,0,1,5,3,0,1,2,2,44,0,0,0,0.5556,0,0,13.6667,542,7,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,58,0,0,0,0.5556,0,0,18.3333,544,5,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,58,0,0,0,0.5556,0,0,18.3333,547,5,0,NotFaulty
3,1,0,1,7,3,0,1,2,2,50,0,0,0,0.5556,0,0,15.6667,549,4,0,NotFaulty
4,1,0,2,8,0,0,2,3,0.5,29,0,0,0,0.5,0,0,5.75,412,1,0,NotFaulty
2,1,0,3,7,0,0,3,1,0,53,0,0,0,0.625,0,0,23,827,2,0,NotFaulty
4,1,0,2,8,0,0,2,3,0.5,29,0,0,0,0.5,0,0,5.75,414,1,0,NotFaulty
2,1,0,3,8,0,0,3,1,0,45,0,0,0,0.6667,0,0,20,830,2,0,NotFaulty
4,1,0,2,8,0,0,2,3,0.5,29,0,0,0,0.5,0,0,5.75,416,1,0,NotFaulty
2,1,0,3,8,0,0,3,1,0,58,0,0,0,0.6667,0,0,26,834,3,0,NotFaulty
3,1,0,1,5,3,0,1,2,2,19,0,0,0,0.5556,0,0,5.3333,557,1,0,NotFaulty
3,1,0,1,4,3,0,1,2,2,15,0,0,0,0.6667,0,0,4,558,2,0,NotFaulty
3,1,0,2,4,3,0,2,2,2,14,0,0,0,0.5556,0,0,3.6667,559,1,0,NotFaulty
3,1,0,2,4,3,0,2,2,2,14,0,0,0,0.5556,0,0,3.6667,560,1,0,NotFaulty
2,1,0,1,3,1,0,1,1,2,7,0,0,0,0.75,0,0,2.5,842,1,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,56,0,0,0,0.5556,0,0,17.6667,563,5,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,56,0,0,0,0.5556,0,0,17.6667,566,5,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,56,0,0,0,0.5556,0,0,17.6667,568,5,0,NotFaulty
6,1,0,4,16,0,0,4,5,0,122,1,0,0,0.3095,1,1,19.1667,286,4,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1720,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1721,1,0,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1722,1,0,NotFaulty
7,1,0,3,18,1,0,3,6,0.6111,121,0.3333,0,0,0.3333,1,1,15.8571,248,6,0,NotFaulty
6,1,0,4,13,0,0,4,5,0.4,122,1,0,0,0.3095,1,1,18.8333,291,6,0,NotFaulty
7,1,0,3,18,1,0,3,6,0.5417,155,0.25,0,0,0.3061,1,1,20.5714,252,7,0,NotFaulty
6,1,0,4,13,0,0,4,5,0.3,161,1,0,0,0.2917,1,1,25.1667,297,7,0,NotFaulty
7,1,0,3,18,1,0,3,6,0.5,189,0.2,0,0,0.3333,1,1,25.2857,257,8,0,NotFaulty
6,1,0,4,13,0,0,4,5,0.24,202,1,0,0,0.3095,1,1,31.8333,303,8,0,NotFaulty
7,1,0,3,18,1,0,3,6,0.4722,223,0.1667,0,0,0.3333,1,1,30,263,9,0,NotFaulty
6,1,0,4,13,0,0,4,5,0.2,243,1,0,0,0.3095,1,1,38.5,310,9,0,NotFaulty
7,1,0,3,18,1,0,3,6,0.4524,257,0.1429,0,0,0.3333,1,1,34.7143,269,10,0,NotFaulty
6,1,0,4,13,0,0,4,5,0.1714,284,1,0,0,0.3095,1,1,45.1667,318,10,0,NotFaulty
18,1,0,26,47,151,0,26,14,0.9961,233,0,0,0,0.2118,0,0,11.1111,107,4,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,13,0,0,0,0.8333,1,1,3.3333,646,1,0,NotFaulty
5,1,0,1,8,10,0,1,4,2,27,0,0,0,0.6,0,0,4.4,388,1,0,NotFaulty
5,1,0,1,8,10,0,1,4,2,27,0,0,0,0.6,0,0,4.4,389,1,0,NotFaulty
5,1,0,1,8,10,0,1,4,2,27,0,0,0,0.6,0,0,4.4,390,1,0,NotFaulty
5,1,0,1,8,10,0,1,4,2,27,0,0,0,0.6,0,0,4.4,391,1,0,NotFaulty
5,1,0,1,8,10,0,1,4,2,27,0,0,0,0.6,0,0,4.4,392,1,0,NotFaulty
5,1,0,1,8,10,0,1,4,2,27,0,0,0,0.6,0,0,4.4,393,1,0,NotFaulty
3,1,0,7,10,3,0,7,2,1,39,0,7,0,1,0,0,9.6667,657,1,0,NotFaulty
2,1,0,2,8,0,0,2,1,0,39,0,0,0,0.75,0,0,18,987,2,0,NotFaulty
7,1,0,6,14,13,0,6,5,0.5,107,0,0,0,0.3571,0,0,14,284,5,0,NotFaulty
7,1,0,3,13,19,0,3,5,0.6667,174,0,0,0,0.3889,0,0,23.7143,287,12,0,NotFaulty
5,2,0,2,10,0,0,2,4,0,31,0,0,0.8,0.4667,1,5,5,403,1,0,NotFaulty
9,3,0,2,21,0,0,2,8,0,108,0,0,0.7037,0.3889,2,11,10.8889,225,4,0,NotFaulty
6,1,0,2,13,0,0,2,5,0.1,75,0.5,0,0,0.5556,1,1,11.1667,340,3,0,NotFaulty
6,1,0,4,11,15,0,4,5,2,65,0,0,0,0.3889,0,0,9.8333,341,2,0,NotFaulty
5,1,0,2,7,0,0,2,4,0.2857,83,0,1,0,0.75,0,0,14.2,410,1,0,NotFaulty
2,1,0,3,16,0,0,3,2,0,142,0,0,0,0.75,0,0,69.5,1035,15,0,NotFaulty
8,1,0,4,24,0,0,4,2,0.619,500,0.6667,0,0,0.4286,0,0,60.75,263,11,0,NotFaulty
10,3,0,4,22,0,0,4,9,0,92,0,0,0.6786,0.4667,3,13,8.1,212,3,0,NotFaulty
1,1,0,0,2,0,0,0,1,2,20,0,0,0,1,0,0,15,2122,1,0,NotFaulty
42,2,0,20,112,59,0,20,25,0.799,3631,0.9697,0,0.3103,0.1748,2,9,84.6667,56,26,0.1659,NotFaulty
2,1,0,0,3,1,0,0,0,1,24,0,1,0,0.6,0,0,9,1184,1,0,NotFaulty
