WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
4,1,0,2,4,6,0,2,4,2,4,0,0,0,0.5,0,0,0,122,1,0,NotFaulty
2,1,0,4,9,0,0,4,1,0.5,32,0,0,0,0.625,0,0,14,245,1,0,NotFaulty
6,1,0,4,9,3,0,4,6,0.6,36,1,0,0,0.375,0,0,4.6667,82,1,0,NotFaulty
7,1,0,0,8,15,0,0,7,0.9167,35,1,0,0,0.4762,0,0,3.4286,72,1,0,NotFaulty
9,1,0,1,17,16,0,1,7,0.8393,131,0.5714,3,0,0.4583,1,1,12.7778,57,7,0.017,NotFaulty
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,522,1,0,NotFaulty
2,1,0,7,29,0,0,7,1,0,118,0,0,0,0.625,0,0,57,266,9,0,NotFaulty
6,1,0,5,9,3,0,5,6,0.4,37,1,0,0,0.5,0,0,5,89,1,0.0168,NotFaulty
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,270,1,0,NotFaulty
4,1,0,5,10,4,0,5,3,0.8333,31,1,0,0,0.8333,0,0,6.25,136,2,0,NotFaulty
8,1,0,0,8,28,0,0,8,2,8,0,0,0,0.3,0,0,0,69,1,0,NotFaulty
9,1,0,1,11,24,0,1,9,0.9,50,1,0,0,0.2889,0,0,4,62,1,0,NotFaulty
10,1,0,1,10,45,0,1,10,2,10,0,0,0,0.3,0,0,0,57,1,0,NotFaulty
11,1,0,2,12,45,0,2,11,0.9333,55,1,0,0,0.2909,0,0,3.4545,53,1,0,NotFaulty
3,3,0,1,6,3,0,1,2,1.5,16,1,0,1,0.6667,0,0,4,195,1,0,NotFaulty
2,1,0,1,11,1,0,1,1,2,44,0,0,0,1,0,0,21,296,6,0,NotFaulty
15,1,0,3,68,73,0,3,3,0.8143,426,1,0,0,0.1571,0,0,27.0667,42,8,0,NotFaulty
15,2,0,1,36,0,0,1,14,0.6429,171,0.6667,0,0.4286,0.2449,1,2,10.2,43,3,0.0172,NotFaulty
4,1,0,2,23,4,0,2,2,1.2381,191,0.1429,0,0,0.4167,0,0,45,170,21,0,NotFaulty
2,1,0,2,5,1,0,2,1,1,17,0,0,0,0.6667,0,0,7,342,1,0,NotFaulty
6,1,0,9,77,7,0,9,3,0.8,498,0.75,0,0,0.4,0,0,81.3333,118,8,0.0175,NotFaulty
4,1,0,3,18,0,0,3,2,0.4,126,1,0,0,0.6667,0,0,29.25,179,8,0.017,NotFaulty
8,1,0,10,34,0,0,10,4,0.2857,321,1,0,0,0.4643,0,0,39,92,6,0.0177,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,186,1,0,NotFaulty
4,3,0,0,8,6,0,0,4,1.3333,21,1,0,1,0.6667,0,0,4,187,1,0,NotFaulty
2,1,0,1,5,1,0,1,1,1,17,0,0,0,0.6667,0,0,7,375,1,0,NotFaulty
10,1,0,1,14,33,0,1,10,0.8333,62,1,0,0,0.3,0,0,4.8,76,1,0.0171,NotFaulty
9,1,0,0,9,36,0,0,9,2,9,0,0,0,0.2778,0,0,0,85,1,0,NotFaulty
10,1,0,1,11,45,0,1,10,2,27,0,0,0,0.2667,0,0,1.7,78,1,0,NotFaulty
3,1,0,0,6,3,0,0,2,2,48,0,0,0,0.5556,0,0,15,262,6,0,NotFaulty
